Feature,Importance
Wind_Speed_1,0.08018457818641841
weather_code_4_55,0.053299549387978075
Wind_Speed_7,0.04241026487072865
Wind_Speed_4,0.03913427341726664
weather_code_2_1,0.03843646940902931
Wind_Speed_2,0.037458165834013714
Wind_Speed_10,0.03648804374333236
Wind_Speed_9,0.035307051453023985
Wind_Speed_3,0.029343687796260974
Wind_Speed_8,0.028973710163679958
Wind_Speed_6,0.02812866066361449
weather_code_1_53,0.027600108512467133
weather_code_10_0,0.027469822382078433
Temperature_6,0.025117477613307772
Temperature_3,0.02343996680670801
Temperature_5,0.02312507934460316
weather_code_2_61,0.023010220473507502
Temperature_1,0.02282807930774732
weather_code_7_0,0.02092355691456171
Temperature_8,0.020892188447206063
Temperature_4,0.01939883712228292
Wind_Speed_5,0.018813281687612437
weather_code_5_0,0.01850072303946275
Temperature_2,0.017779276559736556
Temperature_7,0.015634734809355334
weather_code_9_0,0.015107483332431311
Temperature_10,0.013762133076931407
Temperature_9,0.013216510847999184
weather_code_8_3,0.012877101513425002
weather_code_1_1,0.007911667077561036
weather_code_3_1,0.007654087778664467
weather_code_8_0,0.00744292848180734
weather_code_3_61,0.006921711086915199
weather_code_6_51,0.006817427009391378
weather_code_3_55,0.006359357903260781
weather_code_5_51,0.0060578419535807174
weather_code_4_3,0.005833115753407123
weather_code_1_51,0.005562857262028625
weather_code_7_2,0.005215907578711766
weather_code_3_2,0.005142270778756281
weather_code_9_2,0.005095624499012339
weather_code_9_3,0.0049125678612135315
weather_code_4_1,0.00482289720584585
weather_code_10_51,0.004535649210377023
weather_code_4_51,0.0045157134375010425
weather_code_6_3,0.004028479993457729
weather_code_10_2,0.0036114390703259253
weather_code_1_0,0.0031594326341663247
weather_code_3_3,0.0028911085272680026
weather_code_7_1,0.0028316633046434835
weather_code_9_1,0.002821247323500472
weather_code_7_51,0.002680269134961466
weather_code_7_65,0.0026690281872039133
weather_code_5_3,0.0026379981572904033
weather_code_5_2,0.002591608189213151
weather_code_10_1,0.0025754663562550114
weather_code_3_51,0.0025611779967885696
weather_code_1_2,0.002545015460290847
weather_code_6_61,0.0024102695411609633
weather_code_8_2,0.0023773178986666644
weather_code_3_63,0.0023748663950909745
weather_code_6_53,0.002339908508154273
weather_code_4_61,0.0022547605143361476
weather_code_4_2,0.002227286427121834
weather_code_8_51,0.0021535680671413027
weather_code_10_53,0.0020892141431868828
weather_code_2_55,0.0020604937534982933
weather_code_7_3,0.0020381756234519946
weather_code_6_1,0.0019888241067450817
weather_code_2_53,0.001969579618175111
weather_code_5_55,0.001875308710319169
weather_code_2_2,0.0017558161867531853
weather_code_10_65,0.0016193269491445433
weather_code_5_1,0.0015750428703652348
weather_code_8_1,0.0015080985169516824
weather_code_2_0,0.0015030743756042641
weather_code_2_51,0.0014993847190865992
weather_code_10_3,0.0014074958789014322
weather_code_6_2,0.0012959926163361923
weather_code_9_51,0.0012948405732734769
weather_code_6_63,0.0011298579565464815
weather_code_9_53,0.0009654345982302735
weather_code_8_61,0.000958267144494475
weather_code_5_63,0.0008675914863960446
weather_code_9_61,0.0007928744747651762
weather_code_6_65,0.0007658871972509945
weather_code_5_53,0.0007539521582051794
weather_code_7_53,0.0007001757726389009
weather_code_4_53,0.000648033534940564
weather_code_1_3,0.0006356005919871578
weather_code_2_3,0.0005833654197840881
weather_code_8_63,0.0005725277543187354
weather_code_3_65,0.0005001608226749488
weather_code_6_0,0.0004974057160445952
weather_code_9_65,0.0004883881070181272
weather_code_4_0,0.00047664584052253296
weather_code_1_63,0.0004706067606370066
weather_code_3_0,0.0004476768393619719
weather_code_3_53,0.00043264494797300303
weather_code_4_65,0.0004100871799847415
weather_code_2_63,0.00040727530477227623
weather_code_5_65,0.0004047291832486416
weather_code_4_63,0.0003299886341852076
weather_code_8_65,0.0003295163487149784
weather_code_2_65,0.0003180303394424307
weather_code_10_63,0.0003062964776004692
weather_code_9_63,0.0002991520259532888
weather_code_7_63,0.00026657803692747004
weather_code_8_53,0.00023548088399468904
weather_code_1_65,0.0002330662018198618
weather_code_7_61,0.0002270717317806591
weather_code_8_55,0.0001899138031337214
weather_code_1_55,0.00018255246011715742
weather_code_1_61,0.00013931853199710594
weather_code_5_61,0.000110516667894517
weather_code_10_61,8.408554738279829e-05
weather_code_6_55,6.055498594011801e-05
weather_code_9_55,5.5711231638685517e-05
weather_code_10_55,2.3721377110656984e-05
weather_code_7_55,1.4013998934644873e-05
Distance_travelled_10,0.0
Distance_travelled_1,0.0
Distance_travelled_2,0.0
Distance_travelled_9,0.0
Distance_travelled_3,0.0
Distance_travelled_4,0.0
Distance_travelled_8,0.0
Distance_travelled_6,0.0
Distance_travelled_7,0.0
Distance_travelled_5,0.0
